order_id,menu_item_id,quantity,subtotal
1,14,1,4.02
2,17,1,4.25
3,9,2,10.14
4,28,2,7.9
5,23,1,4.73
6,30,2,13.7
7,25,1,6.66
7,7,1,6.29
7,6,1,3.76
8,21,1,6.97
8,25,1,6.66
9,12,1,6.32
10,11,1,3.96
11,23,1,4.73
11,26,1,4.12
12,17,1,4.25
12,13,2,11.46
13,12,1,6.32
13,8,2,8.06
14,22,1,5.16
15,22,1,5.16
15,24,1,7.0
16,12,1,6.32
17,24,1,7.0
17,17,1,4.25
17,11,1,3.96
18,15,1,6.31
19,13,1,5.73
20,31,1,5.19
20,1,1,4.79
21,16,1,5.82
21,16,1,5.82
22,21,1,6.97
23,25,1,6.66
23,32,1,4.68
24,10,2,9.82
25,32,1,4.68
25,18,1,4.58
26,32,1,4.68
27,9,1,5.07
28,30,1,6.85
28,23,1,4.73
29,29,1,4.42
30,16,1,5.82
31,11,1,3.96
31,11,1,3.96
32,22,2,10.32
33,18,1,4.58
33,21,2,13.94
33,15,1,6.31
34,28,1,3.95
35,17,1,4.25
35,28,1,3.95
36,21,1,6.97
37,3,1,3.85
38,18,1,4.58
39,22,1,5.16
39,1,1,4.79
40,30,1,6.85
40,31,2,10.38
41,30,1,6.85
41,31,1,5.19
42,14,1,4.02
42,18,1,4.58
43,22,1,5.16
43,21,1,6.97
43,27,1,5.75
44,32,1,4.68
44,10,1,4.91
45,2,1,5.44
46,7,1,6.29
46,4,1,5.74
46,11,2,7.92
47,28,1,3.95
48,17,1,4.25
49,12,1,6.32
50,23,1,4.73
50,4,1,5.74
50,26,1,4.12
51,12,1,6.32
52,20,1,5.08
52,15,1,6.31
53,11,1,3.96
54,7,1,6.29
55,12,1,6.32
55,17,1,4.25
55,29,1,4.42
56,19,1,6.9
57,7,1,6.29
57,3,1,3.85
58,10,2,9.82
59,9,2,10.14
60,8,1,4.03
61,3,1,3.85
61,12,1,6.32
62,5,1,5.12
62,28,1,3.95
63,30,1,6.85
63,13,1,5.73
64,23,1,4.73
65,29,1,4.42
65,25,1,6.66
66,25,1,6.66
66,32,1,4.68
67,18,1,4.58
68,2,1,5.44
69,17,1,4.25
70,16,2,11.64
70,28,1,3.95
71,18,1,4.58
71,29,1,4.42
72,9,1,5.07
73,11,1,3.96
74,12,1,6.32
75,12,1,6.32
76,23,1,4.73
76,31,1,5.19
76,20,1,5.08
77,10,1,4.91
77,4,1,5.74
78,32,1,4.68
78,14,1,4.02
78,17,1,4.25
79,23,1,4.73
80,14,1,4.02
80,28,1,3.95
81,16,1,5.82
82,4,1,5.74
82,23,1,4.73
83,22,1,5.16
83,32,1,4.68
84,16,1,5.82
84,31,1,5.19
85,4,1,5.74
86,1,1,4.79
86,27,1,5.75
87,26,1,4.12
87,32,1,4.68
88,19,1,6.9
88,26,1,4.12
88,9,1,5.07
89,11,1,3.96
89,32,1,4.68
90,11,1,3.96
90,26,1,4.12
91,31,1,5.19
92,30,1,6.85
93,3,1,3.85
93,15,1,6.31
93,10,1,4.91
94,5,1,5.12
95,29,1,4.42
96,4,1,5.74
96,26,1,4.12
97,24,1,7.0
98,5,2,10.24
99,27,1,5.75
99,2,1,5.44
99,23,1,4.73
100,31,1,5.19
